cycleNumber,n_rows,duration_s,max_voltage,min_voltage,mean_voltage,max_temp,mean_temp,max_current,mean_current,std_current,max_power,mean_power,QDischarge_mAh,QCharge_mAh,energy_Wh,Ns_mode,cell_id,is_capacity_test,score,dis_dur_s,frac_flight,anomaly_score,any_anomaly,initial_capacity_mAh,SOH_pct,SOH_pct_smoothed,RUL_cycles,RUL_censored,cell
0,91196,6077211.75822116,4.2001281,2.4999928,3.6700918379062677,61.157101,23.76254060973069,2992.8472,-651.9318728413198,1241.1114122287943,12.55674745900904,-2.3495332797718103,3089.33841095902,3027.44243811331,13048.822449877396,5,VAH01,True,3,86485.20399887481,0.42200315803324706,1,True,3089.33841095902,100.0,100.0,249,True,VAH01
1,72260,6335547.335133749,4.2001677,2.4999928,3.6706124580099644,61.441761,24.278902975588153,2992.0591,-693.0751184560752,1368.6051987257251,12.5588778291228,-2.4951427941544595,3089.33841095902,1849.73559434824,15337.182593840631,5,VAH01,True,3,68740.16494066613,0.43207860503736506,1,True,3089.33841095902,100.0,100.0,248,True,VAH01
2,55719,5637067.202519676,4.2001677,2.4999928,3.672017920928229,61.188732,24.28433108433389,2992.8469,-738.1364279958004,1546.654318662224,12.559822135728188,-2.6533651334120516,2999.8071727292,1864.71910682099,12579.95617687944,5,VAH01,True,3,53066.37777688002,0.4299969489761123,1,True,3089.33841095902,97.10192842868169,100.0,247,True,VAH01
3,55340,5639113.006616851,4.2000494,2.5000718,3.6742213877177448,61.615715,25.114196867491867,2992.0588,-737.768204254102,1554.289369728094,12.562778533195901,-2.6517767491848843,2935.71937920916,1889.46311086143,10819.68464405059,5,VAH01,True,3,52576.98172241923,0.43294181423924827,1,True,3089.33841095902,95.02744564321873,98.55096421434084,246,True,VAH01
4,54769,5640925.686702949,4.200089,2.5001111,3.673958660556154,61.726414,24.961950086234914,2993.4382,-739.3887787981887,1563.36366599088,12.563724358470001,-2.656538533047538,2892.94955858945,1880.09455456376,8993.37633067738,5,VAH01,True,3,52002.25190942276,0.4374554948967482,1,True,3089.33841095902,93.64301263749849,97.10192842868169,245,True,VAH01
5,4284,5642750.080789599,4.2000494,2.6583061,3.7329326573996267,62.153397,31.36974985200747,2995.8022,-3102.931183225957,4883.807661559601,12.55864129750811,-10.91000809148838,1865.25707500787,1853.2884827194,17237.62786209914,5,VAH01,False,1,4039.992191882775,0.5065359477124183,1,True,3089.33841095902,93.64301263749849,95.02744564321873,244,True,VAH01
6,4299,5644548.902875042,4.2002068,2.649209,3.7324102658060014,62.287819,31.418418295882766,2992.2561,-3092.9821746987673,4881.083405400455,12.562778533195901,-10.8723509026251,1867.3275899924,1854.65485870515,17232.22493967125,5,VAH01,False,1,4039.992194723527,0.5047685508257734,1,True,3089.33841095902,93.64301263749849,93.64301263749849,243,True,VAH01
7,4312,5646345.8249496445,4.2001281,2.6451135,3.7331557276669756,62.517124,31.460361697356216,2992.2561,-3082.982206628015,4878.0816718386,12.5654976988932,-10.83647197864223,1868.11877917155,1856.71605810504,17230.747060613285,5,VAH01,False,1,4039.992194703751,0.5032467532467533,1,True,3089.33841095902,93.64301263749849,93.64301263749849,242,True,VAH01
8,4378,5648154.125030729,4.2001281,2.6354256,3.7324086803791685,62.667355,31.530590882823205,2992.8472,-3036.4368744381,4855.976062638913,12.555104078154299,-10.673671818864802,1870.37644182916,1857.75691980123,17234.7945381429,5,VAH01,False,1,4039.992200354638,0.49566011877569666,1,True,3089.33841095902,93.64301263749849,93.64301263749849,241,True,VAH01
9,4383,5649892.00511813,4.2000098,2.6307392,3.731856118708647,62.778061,31.638732394478666,2993.6353,-3033.094250787132,4854.153865699005,12.559940558851029,-10.662089455463978,1871.37109430637,1858.45856464439,17247.398822650994,5,VAH01,False,1,4039.9922010251903,0.49509468400638834,1,True,3089.33841095902,93.64301263749849,93.64301263749849,240,True,VAH01
10,4348,5651625.097205291,4.2001677,2.6269586,3.7307596438132475,63.149689,31.599478599586018,2992.2559,-3059.374416844526,4869.817739595642,12.56206835662925,-10.74854204485714,1872.02185227431,1860.33009702174,17249.59744553393,5,VAH01,False,1,4039.9922031736496,0.4990800367985281,1,True,3089.33841095902,93.64301263749849,93.64301263749849,239,True,VAH01
11,4329,5653563.327302773,4.2001677,2.6298728,3.729969766920767,63.252483,31.53064515985216,2992.8469,-3073.1528356271656,4879.126423166504,12.56466990018,-10.793234882161842,1871.01887840088,1862.20227914102,17251.283181277173,5,VAH01,False,1,4039.9922031648166,0.5012705012705013,1,True,3089.33841095902,93.64301263749849,93.64301263749849,238,True,VAH01
