task,model,fold,test_cell,train_cells,validation_cells,train_n,validation_n,test_n,test_mae,test_rmse,inference_ms_per_sample,best_epoch,best_val_mae,epochs_run,training_seconds,parameter_count,target_mean,target_std
soh,mission_phase_transformer,1,VAH01,VAH05;VAH10;VAH11;VAH13;VAH15;VAH16;VAH17;VAH20;VAH22;VAH23;VAH24;VAH28,VAH02;VAH12;VAH25;VAH26;VAH27;VAH30,11744,5945,824,4.306987762451172,5.243616580963135,0.03640102184283588,15,1.1823582649230957,23,112.88677046699922,160417,86.69273376464844,6.234044075012207
soh,mission_phase_transformer,2,VAH02,VAH01;VAH05;VAH10;VAH11;VAH13;VAH15;VAH17;VAH20;VAH22;VAH24;VAH25;VAH28,VAH12;VAH16;VAH23;VAH26;VAH27;VAH30,11842,6065,606,0.48871397972106934,0.6261995434761047,0.03616179207828021,5,1.2387558221817017,13,64.2431901100008,160417,86.58394622802734,6.188625812530518
soh,mission_phase_transformer,3,VAH05,VAH01;VAH10;VAH11;VAH15;VAH16;VAH17;VAH20;VAH22;VAH23;VAH24;VAH26;VAH28,VAH02;VAH12;VAH13;VAH25;VAH27;VAH30,11211,5827,1475,1.1376875638961792,1.250388741493225,0.05484498711820826,3,0.736542820930481,11,51.38570050999988,160417,86.89327239990234,6.203853607177734
soh,mission_phase_transformer,4,VAH10,VAH01;VAH05;VAH11;VAH15;VAH16;VAH17;VAH20;VAH22;VAH23;VAH24;VAH26;VAH28,VAH02;VAH12;VAH13;VAH25;VAH27;VAH30,11291,5827,1395,1.3517627716064453,1.525676965713501,0.05779740286830981,10,0.8355134725570679,18,86.53306641900053,160417,87.10257720947266,6.04904842376709
soh,mission_phase_transformer,5,VAH11,VAH05;VAH10;VAH15;VAH16;VAH17;VAH20;VAH23;VAH24;VAH26;VAH27;VAH28;VAH30,VAH01;VAH02;VAH12;VAH13;VAH22;VAH25,10631,5684,2198,2.0430257320404053,2.2968761920928955,0.050848619654033485,25,1.5310088396072388,33,149.0432454590009,160417,87.4511489868164,5.645944595336914
soh,mission_phase_transformer,6,VAH12,VAH05;VAH10;VAH15;VAH16;VAH17;VAH20;VAH23;VAH24;VAH26;VAH27;VAH28;VAH30,VAH01;VAH02;VAH11;VAH13;VAH22;VAH25,10631,5585,2297,0.7189991474151611,0.8590424060821533,0.057791946016871466,51,1.8711260557174683,59,262.09082997399855,160417,87.4511489868164,5.645944595336914
soh,mission_phase_transformer,7,VAH13,VAH05;VAH10;VAH11;VAH15;VAH16;VAH17;VAH20;VAH22;VAH23;VAH24;VAH28;VAH30,VAH01;VAH02;VAH12;VAH25;VAH26;VAH27,11624,5874,1015,0.5401531457901001,0.8354413509368896,0.04108962660260829,15,1.4529691934585571,23,111.22050476899858,160417,86.61421203613281,6.22214412689209
soh,mission_phase_transformer,8,VAH15,VAH01;VAH02;VAH05;VAH10;VAH11;VAH13;VAH17;VAH22;VAH24;VAH25;VAH27;VAH28,VAH12;VAH16;VAH20;VAH23;VAH26;VAH30,11928,6090,495,0.5026668310165405,0.550002932548523,0.04005346666537037,2,1.435180902481079,10,50.92211665200011,160417,86.61204528808594,6.173764228820801
soh,mission_phase_transformer,9,VAH16,VAH01;VAH02;VAH05;VAH10;VAH11;VAH13;VAH17;VAH22;VAH24;VAH25;VAH27;VAH28,VAH12;VAH15;VAH20;VAH23;VAH26;VAH30,11928,6090,495,1.3826824426651,1.4181536436080933,0.04325395555387138,2,1.3636524677276611,10,50.681894551998994,160417,86.61204528808594,6.173764228820801
soh,mission_phase_transformer,10,VAH17,VAH05;VAH10;VAH11;VAH13;VAH15;VAH16;VAH20;VAH22;VAH23;VAH24;VAH28;VAH30,VAH01;VAH02;VAH12;VAH25;VAH26;VAH27,11663,5874,976,0.543971061706543,0.6670111417770386,0.06774661782863584,15,2.336512804031372,23,109.83975517400177,160417,86.66889190673828,6.237576961517334
