task,model,test_cell,epoch,train_huber,val_mae,val_rmse,learning_rate
soh,mission_phase_transformer,VAH01,1,0.015876341568006644,1.9438308477401733,3.6905179023742676,0.002
soh,mission_phase_transformer,VAH01,2,0.007932107454059234,1.4437949657440186,2.896371364593506,0.002
soh,mission_phase_transformer,VAH01,3,0.006580165249856357,1.7980304956436157,3.5392637252807617,0.002
soh,mission_phase_transformer,VAH01,4,0.006104514592806796,1.4028886556625366,2.6981089115142822,0.002
soh,mission_phase_transformer,VAH01,5,0.005776395565736277,1.5333908796310425,2.8152217864990234,0.002
soh,mission_phase_transformer,VAH01,6,0.006148721151084357,1.6835017204284668,2.540166139602661,0.002
soh,mission_phase_transformer,VAH01,7,0.0049453038774298795,1.5409077405929565,2.5490047931671143,0.002
soh,mission_phase_transformer,VAH01,8,0.00547032542488657,1.6794471740722656,2.456679344177246,0.001
soh,mission_phase_transformer,VAH01,9,0.003953453909595591,1.2099496126174927,1.998435378074646,0.001
soh,mission_phase_transformer,VAH01,10,0.003979183201188328,1.2681692838668823,1.9901329278945923,0.001
soh,mission_phase_transformer,VAH01,11,0.003946505200209182,1.309728980064392,1.9817007780075073,0.001
soh,mission_phase_transformer,VAH01,12,0.004021918239980449,1.3837529420852661,2.0346999168395996,0.001
soh,mission_phase_transformer,VAH01,13,0.004022106222493691,1.4234492778778076,2.021631956100464,0.0005
soh,mission_phase_transformer,VAH01,14,0.0034797479676422776,1.2560666799545288,1.8724855184555054,0.0005
soh,mission_phase_transformer,VAH01,15,0.0033650923899707337,1.1823582649230957,1.81985604763031,0.0005
soh,mission_phase_transformer,VAH01,16,0.0034813023177394263,1.2797073125839233,1.8535852432250977,0.0005
soh,mission_phase_transformer,VAH01,17,0.0036952090925443156,1.3460206985473633,1.8678425550460815,0.0005
soh,mission_phase_transformer,VAH01,18,0.0034084805523423474,1.300431251525879,1.8359462022781372,0.0005
soh,mission_phase_transformer,VAH01,19,0.0036843820412869105,1.2927957773208618,1.8233917951583862,0.00025
soh,mission_phase_transformer,VAH01,20,0.0033529848031628603,1.2001811265945435,1.7544275522232056,0.00025
soh,mission_phase_transformer,VAH01,21,0.0033566395292814813,1.229729413986206,1.77167546749115,0.00025
soh,mission_phase_transformer,VAH01,22,0.0032024647715712114,1.2193822860717773,1.747347116470337,0.00025
soh,mission_phase_transformer,VAH01,23,0.0033078100405410137,1.201114296913147,1.7149940729141235,0.000125
soh,mission_phase_transformer,VAH02,1,0.020492902932208224,1.762378215789795,2.312021493911743,0.002
soh,mission_phase_transformer,VAH02,2,0.007715088907431693,1.466997504234314,1.9214354753494263,0.002
soh,mission_phase_transformer,VAH02,3,0.007327306359673504,1.4545336961746216,1.8650845289230347,0.002
soh,mission_phase_transformer,VAH02,4,0.0061955755464780035,1.7068164348602295,2.3033204078674316,0.002
soh,mission_phase_transformer,VAH02,5,0.005856791584672439,1.2387558221817017,1.5833367109298706,0.002
soh,mission_phase_transformer,VAH02,6,0.005837204764815596,1.9900527000427246,2.523980140686035,0.002
soh,mission_phase_transformer,VAH02,7,0.00506160200543304,1.414014220237732,1.8391187191009521,0.002
soh,mission_phase_transformer,VAH02,8,0.005050958163647449,1.4775354862213135,1.8325096368789673,0.002
soh,mission_phase_transformer,VAH02,9,0.004869737045792556,1.584027647972107,1.846940279006958,0.001
soh,mission_phase_transformer,VAH02,10,0.004420888264221686,1.6367112398147583,2.0859358310699463,0.001
soh,mission_phase_transformer,VAH02,11,0.004117592980777205,1.4402450323104858,1.8193020820617676,0.001
soh,mission_phase_transformer,VAH02,12,0.004338982696865956,1.6109769344329834,2.0158324241638184,0.001
soh,mission_phase_transformer,VAH02,13,0.0037051697343599985,1.6304181814193726,2.0022220611572266,0.0005
soh,mission_phase_transformer,VAH05,1,0.018716080851511302,0.7914285659790039,1.300111174583435,0.002
soh,mission_phase_transformer,VAH05,2,0.007171384969073423,0.8936344385147095,1.078587532043457,0.002
soh,mission_phase_transformer,VAH05,3,0.007027478185881485,0.736542820930481,1.143081545829773,0.002
soh,mission_phase_transformer,VAH05,4,0.006745908133515789,0.9566327333450317,1.1964232921600342,0.002
soh,mission_phase_transformer,VAH05,5,0.005929832428355834,1.0033272504806519,1.4268275499343872,0.002
soh,mission_phase_transformer,VAH05,6,0.005820440581417632,0.9059045910835266,1.0930266380310059,0.002
soh,mission_phase_transformer,VAH05,7,0.004795881968346973,0.8968936204910278,1.0814896821975708,0.001
soh,mission_phase_transformer,VAH05,8,0.0041573574259693115,0.9956498146057129,1.1919130086898804,0.001
soh,mission_phase_transformer,VAH05,9,0.003979679738101535,0.8826917409896851,1.0569214820861816,0.001
soh,mission_phase_transformer,VAH05,10,0.004042260863803026,0.903764545917511,1.0873897075653076,0.001
soh,mission_phase_transformer,VAH05,11,0.003955925246635018,0.8923414945602417,1.0807925462722778,0.0005
soh,mission_phase_transformer,VAH10,1,0.019609707706780187,1.03209388256073,1.387922763824463,0.002
soh,mission_phase_transformer,VAH10,2,0.0072508425428802195,0.9191562533378601,1.3190772533416748,0.002
soh,mission_phase_transformer,VAH10,3,0.006342844451162227,1.1466388702392578,1.5181313753128052,0.002
soh,mission_phase_transformer,VAH10,4,0.005648328582712092,1.0989407300949097,1.386298418045044,0.002
soh,mission_phase_transformer,VAH10,5,0.005415304207569083,0.9083831310272217,1.3306180238723755,0.002
soh,mission_phase_transformer,VAH10,6,0.005675463214790156,0.8799604177474976,1.2288540601730347,0.002
